2019-11-23 00:00:48 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 install gnupg:all <none> 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-installed gnupg:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 status unpacked gnupg:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 startup packages configure
2019-11-23 00:00:48 configure libksba8:amd64 1.3.5-2 <none>
2019-11-23 00:00:48 status unpacked libksba8:amd64 1.3.5-2
2019-11-23 00:00:48 status half-configured libksba8:amd64 1.3.5-2
2019-11-23 00:00:48 status installed libksba8:amd64 1.3.5-2
2019-11-23 00:00:48 configure lsb-base:all 10.2019051400 <none>
2019-11-23 00:00:48 status unpacked lsb-base:all 10.2019051400
2019-11-23 00:00:48 status half-configured lsb-base:all 10.2019051400
2019-11-23 00:00:48 status installed lsb-base:all 10.2019051400
2019-11-23 00:00:48 configure libsqlite3-0:amd64 3.27.2-3 <none>
2019-11-23 00:00:48 status unpacked libsqlite3-0:amd64 3.27.2-3
2019-11-23 00:00:48 status half-configured libsqlite3-0:amd64 3.27.2-3
2019-11-23 00:00:48 status installed libsqlite3-0:amd64 3.27.2-3
2019-11-23 00:00:48 configure libnpth0:amd64 1.6-1 <none>
2019-11-23 00:00:48 status unpacked libnpth0:amd64 1.6-1
2019-11-23 00:00:48 status half-configured libnpth0:amd64 1.6-1
2019-11-23 00:00:48 status installed libnpth0:amd64 1.6-1
2019-11-23 00:00:48 configure libassuan0:amd64 2.5.2-1 <none>
2019-11-23 00:00:48 status unpacked libassuan0:amd64 2.5.2-1
2019-11-23 00:00:48 status half-configured libassuan0:amd64 2.5.2-1
2019-11-23 00:00:48 status installed libassuan0:amd64 2.5.2-1
2019-11-23 00:00:48 configure gnupg-l10n:all 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gnupg-l10n:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gnupg-l10n:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure readline-common:all 7.0-5 <none>
2019-11-23 00:00:48 status unpacked readline-common:all 7.0-5
2019-11-23 00:00:48 status half-configured readline-common:all 7.0-5
2019-11-23 00:00:48 status installed readline-common:all 7.0-5
2019-11-23 00:00:48 configure libreadline7:amd64 7.0-5 <none>
2019-11-23 00:00:48 status unpacked libreadline7:amd64 7.0-5
2019-11-23 00:00:48 status half-configured libreadline7:amd64 7.0-5
2019-11-23 00:00:48 status installed libreadline7:amd64 7.0-5
2019-11-23 00:00:48 configure gnupg-utils:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gnupg-utils:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure pinentry-curses:amd64 1.1.0-2 <none>
2019-11-23 00:00:48 status unpacked pinentry-curses:amd64 1.1.0-2
2019-11-23 00:00:48 status half-configured pinentry-curses:amd64 1.1.0-2
2019-11-23 00:00:48 status installed pinentry-curses:amd64 1.1.0-2
2019-11-23 00:00:48 configure gpgconf:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gpgconf:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gpgconf:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure gpg:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gpg:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gpg:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gpg:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure gpg-agent:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gpg-agent:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gpg-agent:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure gpgsm:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gpgsm:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gpgsm:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure dirmngr:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured dirmngr:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed dirmngr:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure gpg-wks-server:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure gpg-wks-client:amd64 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gpg-wks-client:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 configure gnupg:all 2.2.12-1+deb10u1 <none>
2019-11-23 00:00:48 status unpacked gnupg:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-configured gnupg:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 status installed gnupg:all 2.2.12-1+deb10u1
2019-11-23 00:00:48 trigproc libc-bin:amd64 2.28-10 <none>
2019-11-23 00:00:48 status half-configured libc-bin:amd64 2.28-10
2019-11-23 00:00:48 status installed libc-bin:amd64 2.28-10
2019-11-23 00:01:03 startup archives unpack
2019-11-23 00:01:03 install perl-modules-5.28:all <none> 5.28.1-6
2019-11-23 00:01:03 status half-installed perl-modules-5.28:all 5.28.1-6
2019-11-23 00:01:03 status unpacked perl-modules-5.28:all 5.28.1-6
2019-11-23 00:01:04 install libgdbm6:amd64 <none> 1.18.1-4
2019-11-23 00:01:04 status triggers-pending libc-bin:amd64 2.28-10
2019-11-23 00:01:04 status half-installed libgdbm6:amd64 1.18.1-4
2019-11-23 00:01:04 status unpacked libgdbm6:amd64 1.18.1-4
2019-11-23 00:01:04 install libgdbm-compat4:amd64 <none> 1.18.1-4
2019-11-23 00:01:04 status half-installed libgdbm-compat4:amd64 1.18.1-4
2019-11-23 00:01:04 status unpacked libgdbm-compat4:amd64 1.18.1-4
2019-11-23 00:01:04 install libperl5.28:amd64 <none> 5.28.1-6
2019-11-23 00:01:04 status half-installed libperl5.28:amd64 5.28.1-6
2019-11-23 00:01:04 status unpacked libperl5.28:amd64 5.28.1-6
2019-11-23 00:01:04 install perl:amd64 <none> 5.28.1-6
2019-11-23 00:01:04 status half-installed perl:amd64 5.28.1-6
2019-11-23 00:01:04 status unpacked perl:amd64 5.28.1-6
2019-11-23 00:01:04 install libpython2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2019-11-23 00:01:04 status half-installed libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:04 status unpacked libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:04 install python2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2019-11-23 00:01:04 status half-installed python2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 status unpacked python2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 install python2-minimal:amd64 <none> 2.7.16-1
2019-11-23 00:01:05 status half-installed python2-minimal:amd64 2.7.16-1
2019-11-23 00:01:05 status unpacked python2-minimal:amd64 2.7.16-1
2019-11-23 00:01:05 install python-minimal:amd64 <none> 2.7.16-1
2019-11-23 00:01:05 status half-installed python-minimal:amd64 2.7.16-1
2019-11-23 00:01:05 status unpacked python-minimal:amd64 2.7.16-1
2019-11-23 00:01:05 install mime-support:all <none> 3.62
2019-11-23 00:01:05 status half-installed mime-support:all 3.62
2019-11-23 00:01:05 status unpacked mime-support:all 3.62
2019-11-23 00:01:05 install libexpat1:amd64 <none> 2.2.6-2+deb10u1
2019-11-23 00:01:05 status half-installed libexpat1:amd64 2.2.6-2+deb10u1
2019-11-23 00:01:05 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2019-11-23 00:01:05 install libpython2.7-stdlib:amd64 <none> 2.7.16-2+deb10u1
2019-11-23 00:01:05 status half-installed libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 status unpacked libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 install python2.7:amd64 <none> 2.7.16-2+deb10u1
2019-11-23 00:01:05 status half-installed python2.7:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 status unpacked python2.7:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 install libpython2-stdlib:amd64 <none> 2.7.16-1
2019-11-23 00:01:05 status half-installed libpython2-stdlib:amd64 2.7.16-1
2019-11-23 00:01:05 status unpacked libpython2-stdlib:amd64 2.7.16-1
2019-11-23 00:01:05 install libpython-stdlib:amd64 <none> 2.7.16-1
2019-11-23 00:01:05 status half-installed libpython-stdlib:amd64 2.7.16-1
2019-11-23 00:01:05 status unpacked libpython-stdlib:amd64 2.7.16-1
2019-11-23 00:01:05 startup packages configure
